n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27394831,Premier League,2375140,Arsenal,Burnley,2,1,17-Aug-19,Line-up,Start,NULL,NULL,0,0,NULL,1191908,Peter Bankes,4th Official,NULL,NULL,NULL,0,NULL
27511546,Premier League,2375246,Leicester City,Bournemouth,3,1,31-Aug-19,Line-up,Start,NULL,NULL,0,0,NULL,1191908,Peter Bankes,Referee,NULL,NULL,NULL,0,NULL
27607240,Premier League,2375250,Norwich City,Manchester City,3,2,14-Sep-19,Line-up,Start,NULL,NULL,0,0,NULL,1191908,Peter Bankes,4th Official,NULL,NULL,NULL,0,NULL
27607250,Premier League,2375253,Watford,Arsenal,2,2,15-Sep-19,Line-up,Start,NULL,NULL,0,0,NULL,1191908,Peter Bankes,4th Official,NULL,NULL,NULL,0,NULL
27727018,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal,First half,1160000,1160000,-1,4010,Aston Villa,1080366,John McGinn,NULL,NULL,Assist,Left foot,1294746,Anwar El Ghazi
27729121,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal,Second half,3514000,3514000,1,4007,Arsenal,1332842,Nicolas Pépé,NULL,NULL,Penalty,Left foot,0,NULL
27729173,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal,Second half,3599000,3599000,-1,4010,Aston Villa,1405966,Wesley Moraes,NULL,NULL,Assist,Right foot,1028610,Jack Grealish
27729697,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal,Second half,4829000,4829000,1,4007,Arsenal,1078563,Calum Chambers,NULL,NULL,Interception,Right foot,0,NULL
27729802,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal,Second half,5000000,5000000,1,4007,Arsenal,749983,Pierre-Emerick Aubameyang,NULL,NULL,Free kick,Right foot,0,NULL
27730576,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot wide,Second half,4246000,4246000,1,4007,Arsenal,627971,Sokratis Papastathopoulos,NULL,NULL,NULL,Header,0,NULL
